location,type,name
Malleshwaram,Delivery,234
Malleshwaram,Desserts,70
Malleshwaram,Dine-out,263
Malleshwaram,Drinks & nightlife,20
Malleshwaram,Pubs and bars,14
Marathahalli,Buffet,34
Marathahalli,Cafes,26
Marathahalli,Delivery,763
Marathahalli,Desserts,75
Marathahalli,Dine-out,485
Marathahalli,Drinks & nightlife,22
Marathahalli,Pubs and bars,2
New BEL Road,Buffet,4
New BEL Road,Cafes,25
New BEL Road,Delivery,265
New BEL Road,Desserts,26
New BEL Road,Dine-out,170
New BEL Road,Drinks & nightlife,8
New BEL Road,Pubs and bars,8
Old Airport Road,Buffet,12
Old Airport Road,Cafes,4
Old Airport Road,Delivery,159
Old Airport Road,Desserts,29
Old Airport Road,Dine-out,128
Old Airport Road,Drinks & nightlife,12
Old Airport Road,Pubs and bars,9
Rajajinagar,Buffet,10
Rajajinagar,Cafes,3
Rajajinagar,Delivery,203
Rajajinagar,Desserts,40
Rajajinagar,Dine-out,192
Rajajinagar,Drinks & nightlife,3
Rajajinagar,Pubs and bars,10
Residency Road,Buffet,20
Residency Road,Cafes,26
Residency Road,Delivery,154
Residency Road,Desserts,53
Residency Road,Dine-out,267
Residency Road,Drinks & nightlife,55
Residency Road,Pubs and bars,26
Richmond Road,Buffet,63
Richmond Road,Cafes,16
Richmond Road,Delivery,186
Richmond Road,Desserts,50
Richmond Road,Dine-out,260
Richmond Road,Drinks & nightlife,16
Richmond Road,Pubs and bars,12
Sarjapur Road,Buffet,25
Sarjapur Road,Cafes,14
Sarjapur Road,Delivery,447
Sarjapur Road,Desserts,70
Sarjapur Road,Dine-out,256
Sarjapur Road,Drinks & nightlife,19
Sarjapur Road,Pubs and bars,21
Shanti Nagar,Buffet,9
Shanti Nagar,Cafes,18
Shanti Nagar,Delivery,150
Shanti Nagar,Desserts,29
Shanti Nagar,Dine-out,149
Shanti Nagar,Drinks & nightlife,9
Shanti Nagar,Pubs and bars,2
St. Marks Road,Buffet,5
St. Marks Road,Cafes,10
St. Marks Road,Delivery,111
St. Marks Road,Desserts,10
St. Marks Road,Dine-out,145
St. Marks Road,Drinks & nightlife,40
St. Marks Road,Pubs and bars,22
Ulsoor,Buffet,16
Ulsoor,Cafes,50
Ulsoor,Delivery,375
Ulsoor,Desserts,54
Ulsoor,Dine-out,309
Ulsoor,Drinks & nightlife,18
Ulsoor,Pubs and bars,21
Whitefield,Buffet,26
Whitefield,Cafes,47
Whitefield,Delivery,738
Whitefield,Desserts,91
Whitefield,Dine-out,590
Whitefield,Drinks & nightlife,46
Whitefield,Pubs and bars,30
others,Buffet,89
others,Cafes,129
others,Delivery,2487
others,Desserts,284
others,Dine-out,1547
others,Drinks & nightlife,80
others,Pubs and bars,51
